"","value","Lambda_Arapahoe","Site"
"1",1991,1.01210659220172,"Arapaho"
"2",1992,1.16026038467221,"Arapaho"
"3",1993,2.33410337989182,"Arapaho"
"4",1994,1.28815654093579,"Arapaho"
"5",1995,1.01933805441199,"Arapaho"
"6",1996,1.17909300895991,"Arapaho"
"7",1997,1.08751076735274,"Arapaho"
"8",1998,1.05397588450547,"Arapaho"
"9",1999,0.974586643613995,"Arapaho"
"10",2000,0.974041619151738,"Arapaho"
"11",2001,0.726473729348768,"Arapaho"
"12",2002,1.22648341991161,"Arapaho"
"13",2003,0.75912837558393,"Arapaho"
"14",2004,1.19459974044635,"Arapaho"
"15",2005,1.4755174761857,"Arapaho"
"16",2006,1.0010080824207,"Arapaho"
"17",2007,1.51459569945044,"Arapaho"
"18",2008,1.77846789541523,"Arapaho"
"19",2009,1.48089756782103,"Arapaho"
