"","value","Lambda_Niobrara","Site"
"1",1991,1.05644999169498,"Niobrara"
"2",1992,1.01871648869459,"Niobrara"
"3",1993,0.964847918367495,"Niobrara"
"4",1994,1.14402885698724,"Niobrara"
"5",1995,1.03155616983315,"Niobrara"
"6",1996,0.965414871101825,"Niobrara"
"7",1997,0.947912202784331,"Niobrara"
"8",1998,0.880320482116872,"Niobrara"
"9",1999,0.880232491152218,"Niobrara"
"10",2000,0.77306519251353,"Niobrara"
"11",2001,0.991719683933033,"Niobrara"
"12",2002,1.25257030513576,"Niobrara"
"13",2003,0.917130795513657,"Niobrara"
"14",2004,0.730982061185038,"Niobrara"
"15",2005,1.23951994852077,"Niobrara"
"16",2006,1.34638747629067,"Niobrara"
"17",2007,1.14040464130382,"Niobrara"
"18",2008,1.204901121484,"Niobrara"
"19",2009,1.49072281521759,"Niobrara"
